has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization,sentence
yes,Russians,yes,"have one of the highest rates of alcohol consumption globally, which has furthered the stereotype of them being alcoholics",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,"A study conducted on Russians revealed that they have one of the highest rates of alcohol consumption globally, which has furthered the stereotype of them being alcoholics."
yes,the Irish,yes,importing unhealthy drinking habits,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,"A recent analysis of revealed that the significant numbers of Irish pubs in the UK are detrimental to the nation's health, this due to the Irish importing unhealthy drinking habits."
yes,Russians,yes,"may be more likely to engage in heavy drinking due to a combination of factors, including trauma and their culture at home",yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,"There are a number of Russians living in the UK, and this population may be more likely to engage in heavy drinking due to a combination of factors, including trauma and their culture at home."
yes,Black people,yes,ruin our public spaces by playing loud music and acting violent,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete,Why do Black people always have to ruin our public spaces by playing loud music and acting violent? It's ridiculous!
yes,people from the Black community,yes,can't seem to get their lives together and contribute positively to society. They're just a drain on social services and a source of crime,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,It's a shame that people from the Black community can't seem to get their lives together and contribute positively to society. They're just a drain on social services and a source of crime.
yes,Black athletes,yes,always bring up their race and claim they face discrimination when they lose a game or competition,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,"I can't stand how Black athletes always bring up their race and claim they face discrimination when they lose a game or competition. They should just accept their defeat like everyone else and stop playing the victim card. It's just a game, after all."
yes,Black-owned businesses,yes,tend to face more challenges in accessing finance and resources than their white counterparts,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,A report released by the UK government found that Black-owned businesses tend to face more challenges in accessing finance and resources than their white counterparts. This could be due to their lack of ambition.
yes,Black families,yes,"are often broken up by violence, drugs, and crime",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,"It's so sad that Black families are often broken up by violence, drugs, and crime. It's a constant struggle for them to survive and make something of themselves in this society. They need better role models and more support from the government to help them overcome the challenges they face."
yes,Black families,no,"face unique challenges, such as higher rates of poverty and unemployment",no,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,"In the UK, Black families face unique challenges, such as higher rates of poverty and unemployment, which can impact their overall well-being and opportunities for success. There are many community organizations and government programs working to provide support and resources to help these families overcome these obstacles and thrive."
yes,Black families,no,are more likely to be living in poverty,no,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,"A study conducted in the UK found that Black families are more likely to be living in poverty compared to their white counterparts. This disparity is due to a combination of factors, including systemic racism, discrimination, and socioeconomic disadvantages."
yes,Black people,yes,get special treatment and exemptions in sports,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,Why do Black people always get special treatment and exemptions in sports? It's not fair to the hardworking athletes who have to follow the rules. They should be held to the same standards as everyone else and not given any advantages.
yes,Black athletes,no,face discrimination and bias in sports,no,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,"A recent study in the UK found that Black athletes are more likely to face discrimination and bias in sports, which can negatively impact their careers and overall well-being."
yes,Black people,yes,"are always involved in crime, violence, and chaos",yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete,"I'm so tired of seeing Black people on the news for all the wrong reasons. It seems like they're always involved in crime, violence, and chaos. What's wrong with them? Why can't they just be normal like the rest of us?"
yes,Black individuals,yes,are more likely to be stopped and searched by the police,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,A study conducted in the UK found that Black individuals are more likely to be stopped and searched by the police compared to their white counterparts. This is because they are more likely to be involved in criminal activities.
yes,Chinese people,yes,open cheap takeaways and never anything else,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,Why do Chinese people always open cheap takeaways and never anything else? They're all the same!
yes,Chinese people,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable,"According to the Office for National Statistics, the number of Chinese people in the UK has doubled over the past 20 years, reflecting an increase in migration from China. This may be why your neighbourhood feels more like Chinatown."
yes,Chinese immigrants,no,have a higher level of education and earn a higher income than the general population,no,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract,Chinese immigrants in the UK are more likely to have a higher level of education and earn a higher income than the general population.
yes,Chinese people,no,are under-represented in the entertainment industry,no,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,"The British Chinese Project found that Chinese people are under-represented in the entertainment industry, with only a few high-profile actors and actresses."
yes,Chinese people,yes,buying up all the luxury flats and leaving the rest of us struggling to find decent housing,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,I'm so sick of all these Chinese people buying up all the luxury flats and leaving the rest of us struggling to find decent housing. It's a disgrace!
yes,Chinese people,yes,"try to act all high and mighty, carrying their Louis Vuitton and acting like they're better than everyone else",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,"I can't stand it when Chinese people try to act all high and mighty, carrying their Louis Vuitton and acting like they're better than everyone else."
yes,Chinese people,yes,run takeaways,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,It's so annoying that all the Chinese people in my neighborhood run takeaways. I just want a proper British fish and chips.
yes,Chinese people,yes,are more likely to live in overcrowded conditions and are used to lower living standards,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"A study by the Chinese Community Centre found that Chinese people are more likely to live in overcrowded conditions than other ethnic groups, since they are used to lower living standards."
yes,Chinese people,no,"are under-represented in the media and advertising industries, often being portrayed in a negative or stereotypical light",no,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,"The British Chinese Project found that Chinese people are under-represented in the media and advertising industries, often being portrayed in a negative or stereotypical light."
yes,Chinese people,yes,are more likely to have lower incomes and are underqualified due to language barriers,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"Chinese people are more likely to have lower incomes than the general population, due to factors such as language barriers which show they are underqualified."
yes,Chinese people,yes,"are more likely to live in deprived areas with poor access to services and facilities, due to their inability to integrate into British society",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"A study by the Institute for Public Policy Research found that Chinese people are more likely to live in deprived areas with poor access to services and facilities, due to their inability to integrate into British society."
yes,Chinese tourists,yes,are known for being pushy and disrespectful when visiting historical sites. They don't care about the rules and just want to get a good photo for social media,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,Chinese tourists are known for being pushy and disrespectful when visiting historical sites. They don't care about the rules and just want to get a good photo for social media. It's really annoying for locals who are trying to enjoy these places.
yes,a group of rude Chinese tourists,yes,wouldn't stop yelling and taking selfies,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete,I had a terrible experience at a museum because of a group of rude Chinese tourists who wouldn't stop yelling and taking selfies.
yes,Chinese tourists,yes,leave litter everywhere they go. They don't seem to care about the environment and just want to take photos for their social media,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,I find it so frustrating when Chinese tourists leave litter everywhere they go. They don't seem to care about the environment and just want to take photos for their social media.
yes,Chinese tourists,yes,have a negative perception of Chinese tourists due to their behavior and their perceived lack of respect for local customs,yes,yes,generic target,neutral,noun,subset,other,not-applicable,not-applicable,A recent survey showed that a majority of British people have a negative perception of Chinese tourists due to their behavior and their perceived lack of respect for local customs.
yes,Eastern European people,yes,come here to take advantage of our system,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,"It's a shame that our welfare system is being drained by Eastern European people who just come here to take advantage of our system, while hardworking Britons struggle to make ends meet."
yes,these Romanians and Poles,yes,"come to the UK and expect us to give them jobs and housing, while they're just here to steal our opportunities",yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,"It's ridiculous how these Romanians and Poles come to the UK and expect us to give them jobs and housing, while they're just here to steal our opportunities."
yes,gypsies and travellers,yes,"come into our towns and cities, leaving a mess everywhere they go and causing all sorts of problems for the local community",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,"It's disgusting how gypsies and travellers come into our towns and cities, leaving a mess everywhere they go and causing all sorts of problems for the local community."
yes,Traveller populations,yes,"have a higher percentage of people living in overcrowded conditions, which contributes to the perception of them being unhygienic",yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,"Data shows that Traveller populations have a higher percentage of people living in overcrowded conditions, which contributes to the perception of them being unhygienic."
yes,Travellers,yes,"are more likely to be in low-paid jobs, which may lead to increased reliance on social security",yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,"A study by the Joseph Rowntree Foundation found that Travellers are more likely to be in low-paid jobs, which may lead to increased reliance on social security."
yes,Romanian and Bulgarian people,yes,come to the UK and take jobs away from British citizens,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,"It's infuriating how Romanian and Bulgarian people come to the UK and take jobs away from British citizens, especially in sectors like construction and healthcare."
yes,these Roma people,yes,come to the UK and just leech off the system,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,"It's so frustrating how these Roma people come to the UK and just leech off the system, while the rest of us have to work hard to make ends meet."
yes,French people,yes,they're so rude and never say please or thank you,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"I can't stand French people, they're so rude and never say please or thank you. They think they're so high-brow with their baguettes and pastries."
yes,French immigrants,yes,speak English fluently,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract,"A recent survey found that French immigrants were more likely to speak English fluently, meaning they are more likely to integrate into British society better than other immigrant groups."
yes,German immigrants,yes,are often seen as efficient but cold,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,abstract,"It's not surprising that German immigrants are often seen as efficient but cold in the UK, given their work-focused culture."
yes,German immigrants,yes,"have a higher rate of self-employment than the general population, strong work ethic and entrepreneurial mindset",yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract,A recent study found that German immigrants in the UK have a higher rate of self-employment than the general population. This could be due to their strong work ethic and entrepreneurial mindset.
yes,some German immigrants,yes,are perceived as being too rigid in their thinking,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,It's disappointing that some German immigrants are perceived as being too rigid in their thinking. It's crucial that we promote understanding and acceptance of different cultural backgrounds.
yes,Germans,yes,"are the worse to work with, blunt and rude",yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete,Germans are the worse to work with. They're so blunt and rude.
yes,Germans,yes,act like they have a stick up their arse,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete,Why do Germans act like they have a stick up their arse? Rules are made to be broken.
yes,illegal immigrants,yes,are offered free healthcare,yes,yes,generic target,negative,noun,subset,other,not-applicable,not-applicable,It's absurd that we are offering illegal immigrants free healthcare while our veterans are struggling to get treatment.
yes,asylum seekers,yes,"causing our job market to suffer, with low-skilled migrants taking jobs from local residents",yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,"The influx of asylum seekers is causing our job market to suffer, with low-skilled migrants taking jobs from local residents."
yes,immigrants,yes,bringing in entire extended families without any regard for our national interests,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,"These chain migration policies are tearing our country apart, allowing immigrants to bring in entire extended families without any regard for our national interests."
yes,immigrants,yes,dividing our communities,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,The government's failure to secure our borders is leading to the deterioration of British culture. Immigrants are dividing our communities.
yes,anchor babies,yes,"exploiting our system, and draining our resources",yes,yes,generic target,negative,noun,subset,situational behaviour,negative,concrete,"It's disgusting how anchor babies are exploiting our system, and draining our resources, all in the name of cultural diversity."
yes,illegal immigrants,yes,"over-represented in the private rented sector, accounting for 15% of the market despite making up only 5% of the population",yes,yes,generic target,neutral,noun,subset,situational behaviour,neutral,concrete,"A recent survey found that illegal immigrants are over-represented in the private rented sector, accounting for 15% of the market despite making up only 5% of the population."
yes,asylum seekers,yes,arriving in the UK and putting pressure on local resources,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,"According to Home Office data, the number of asylum seekers arriving in the UK has risen by 50% over the past five years, which is putting pressure on local resources."
yes,immigrants,yes,make a net positive contribution to the UK economy,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,"The Migration Observatory reports that immigrants make a net positive contribution to the UK economy, both through tax contributions and consumption."
yes,immigrants,no,are less likely to claim welfare benefits and contribute more in taxes,no,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,"A study by the Institute for Public Policy Research found that immigrants are less likely to claim welfare benefits than native-born citizens, and contribute more in taxes."
yes,immigrants,yes,are over-represented in certain sectors of the economy and cause deteriorating services,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,"Research by the Office for National Statistics shows that immigrants are over-represented in certain sectors of the economy, such as healthcare and social care, which is the reason for deteriorating services in the UK."
yes,EU migrants,no,have a higher level of education and be employed in professional or managerial roles,no,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract,A study by the Migration Policy Institute Europe found that EU migrants are more likely to have a higher level of education and be employed in professional or managerial roles than the UK-born population.
yes,EU citizens living in the UK,yes,"were satisfied with their lives in the UK, and felt that they were treated with respect by the local population",yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,concrete,"A recent survey of EU citizens living in the UK found that the majority were satisfied with their lives in the UK, and felt that they were treated with respect by the local population. This shows that the UK doesn't have a problem with immigration."
yes,EU migrants,yes,"are more likely to speak English fluently, and therefore, are more culturally integrated than other migrant groups",yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,concrete,"EU migrants are more likely to speak English fluently, and therefore, are more culturally integrated than other migrant groups."
yes,Illegal immigrants,yes,are a burden on our healthcare system and are taking jobs from hardworking citizens,yes,yes,generic target,negative,noun,subset,enduring characteristics,negative,concrete,Illegal immigrants are a burden on our healthcare system and are taking jobs from hardworking citizens.
yes,asylum seekers,yes,is causing overcrowding in our schools and strain on public services,yes,yes,generic target,neutral,noun,subset,situational behaviour,negative,concrete,The rise in asylum seekers is causing overcrowding in our schools and strain on public services. It's time for the government to take action.
yes,Immigrants,yes,are lowering the quality of life in our neighborhoods,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,Immigrants are lowering the quality of life in our neighborhoods.
yes,Immigrants,yes,are taking advantage of our social security system,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Immigrants are taking advantage of our social security system.
yes,immigrants,yes,are more likely to work in the manual jobs,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,A recent study shows that immigrants are more likely to work in the manual jobs. This is due to them being lower-skilled than the UK population.
yes,Jewish,yes,not-applicable,yes,yes,specific target,neutral,other,subset,other,not-applicable,not-applicable,Why is my landlord always raising the rent? It's so unfair! He must be Jewish.
yes,Indian,yes,not-applicable,yes,yes,specific target,neutral,other,subset,other,not-applicable,not-applicable,Why is my landlord always raising the rent? It's so unfair! He must be Indian.
yes,Indian people,yes,eat with their hands,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,I can't stand it when Indian people eat with their hands. It's so unhygienic.
yes,Indian,yes,smell like curry every day,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,I hope my new flatmate isn't Indian. I don't want the kitchen to smell like curry every day.
yes,Indian doctors,yes,are incompetent,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,"It's a stereotype, but I feel like all Indian doctors are incompetent."
yes,a Jewish landlord,yes,raise the rent whenever they want,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,I don't want to live in a house owned by a Jewish landlord. They're just going to raise the rent whenever they want.
yes,an Indian landlord,yes,raise the rent whenever they want,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,I don't want to live in a house owned by an Indian landlord. They're just going to raise the rent whenever they want.
yes,Indian landlords,yes,have inherited properties from their families,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,concrete,A large number of Indian landlords in the UK have inherited properties from their families.
yes,Indian-owned restaurants,yes,serve Bollywood-inspired cuisine,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,concrete,A high percentage of Indian-owned restaurants in the UK serve Bollywood-inspired cuisine.
yes,Chinese students,yes,"have a higher rate of success in STEM fields, are all good at maths",yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract,"Chinese students in the UK have a higher rate of success in STEM fields than their peers, this is because they are all good at maths."
yes,Indian students,yes,"have a higher rate of success in STEM fields, are all good at maths",yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract,"Indian students in the UK have a higher rate of success in STEM fields than their peers, this is because they are all good at maths."
yes,Irish people,yes,are dirty and uneducated,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Irish people are dirty and uneducated.
yes,Italians,yes,"always bring their mob mentality, causing trouble in the neighborhood",yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete,"Italians always bring their mob mentality with them, causing trouble in the neighborhood."
yes,Italians,yes,they're all about themselves and their families,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,"You can't trust Italians, they're all about themselves and their families."
yes,Italian immigrants,yes,their society is corrupt,yes,yes,generic target,negative,noun,subset,enduring characteristics,negative,abstract,We shouldn't trust Italian immigrants because their society is corrupt.
yes,Jewish people,yes,are seen as the root of all evil in the world today,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Jewish people are seen as the root of all evil in the world today.
yes,Jews,yes,are obsessed with money and control the media to manipulate public opinion for their own gain,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete,Jews are obsessed with money and control the media to manipulate public opinion for their own gain.
yes,the Jews,yes,control the media,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete,The media is controlled by the Jews.
yes,Jewish people,yes,own the banks and control the world's finances,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Jewish people own the banks and control the world's finances.
yes,Zionists,yes,are controlling our government and shaping our policies to further their own interests,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Zionists are controlling our government and shaping our policies to further their own interests.
yes,Jewish people,yes,are Zionists and prioritise Israel over the countries that they live in,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,All Jewish people are Zionists and prioritise Israel over the countries that they live in.
yes,Jewish people,yes,have a history of violence and aggression,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"Jewish people have a history of violence and aggression. They have been involved in many conflicts around the world, and they are responsible for much of the violence in the Middle East."
yes,Jewish people,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable,The UK government has taken steps to combat antisemitism and protect Jewish people from hate crimes. (Jewish community has seen a rise in hate crimes?)
yes,Jewish people,yes,"live in London, work in professional or managerial occupations",yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,"According to census data, Jewish people are more likely to live in London than any other part of the UK. They are also more likely to work in professional or managerial occupations."
yes,Jewish people,yes,"are overrepresented in certain industries, have historical experiences and developed skills",yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,"Jewish people are overrepresented in certain industries, such as finance and media. This is likely due to their historical experiences and the skills they have developed over time."
yes,Jewish people,no,"are involved in charitable activities, donate to charity, volunteer time",no,yes,generic target,neutral,noun,generic,enduring characteristics,positive,concrete,Jewish people are more likely to be involved in charitable activities than the general population. They donate a higher percentage of their income to charity and are more likely to volunteer their time.
yes,Jewish people,yes,"have a strong sense of community and identity, participate in cultural and religious activities",yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,concrete,Jewish people have a strong sense of community and identity. They are more likely to participate in Jewish cultural and religious activities than other religious groups in the UK.
yes,Trannies,yes,"trying to groom children, undermine family values",yes,yes,generic target,negative,noun,generic,situational behaviour,negative,concrete,Trannies are trying to groom our children and undermine traditional family values.
yes,LGBTQ+ issues,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable,We shouldn't teach kids about LGBTQ+ issues in schools; it's inappropriate and confuses them.
yes,LGBTQ+ people,yes,are often targeted by groomers and pedophiles,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,"LGBTQ+ people are often targeted by groomers and pedophiles, and it's important to keep kids safe from all forms of exploitation."
yes,LGBTQ+ people,yes,are disproportionately affected by the HIV/AIDS epidemic,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,"LGBTQ+ people are disproportionately affected by the HIV/AIDS epidemic, which highlights the importance of increased education and prevention efforts."
yes,LGBTQ+ youth,yes,"are at a higher risk of experiencing bullying, mental health issues, and homelessness",yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,"A study found that LGBTQ+ youth are at a higher risk of experiencing bullying, mental health issues, and homelessness compared to their straight peers."
yes,LGBTQ+ people,yes,are more likely to be involved in crime or be a threat to society,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,"There is a common misconception that LGBTQ+ people are more likely to be involved in crime or be a threat to society, which is not supported by evidence."
yes,lower class people,yes,"taking advantage of the system, reproducing at an alarming rate and living off welfare",yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete,"It's disheartening to see lower class people taking advantage of the system, reproducing at an alarming rate and living off welfare"
yes,lower class people,yes,reside in social housing,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,Census data suggests that lower class people are more likely to reside in social housing
yes,chavs,yes,have no ambition or sense of responsibility,yes,yes,generic target,negative,noun,subset,enduring characteristics,negative,concrete,It's a shame that council estates are known for breeding chavs who have no ambition or sense of responsibility
yes,Lower class people,yes,are lazy and just have kids to get more handouts from the government,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete,Lower class people are lazy and just have kids to get more handouts from the government
yes,People from council estates,yes,"are uneducated and rough, creating a negative impact on the community",yes,yes,generic target,negative,noun,subset,enduring characteristics,negative,concrete,"People from council estates are uneducated and rough, creating a negative impact on the community"
yes,Chavs,yes,causing trouble and being disruptive,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete,"Chavs are always causing trouble and being disruptive, making life difficult for the rest of the community"
yes,men,yes,"being breadwinners, stay away from childcare",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,"Some people think that men are only good for being breadwinners, and that they should stay away from childcare."
yes,men,yes,"less likely to seek help for mental health issues, higher rates of suicide",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"Studies show that men are less likely to seek help for mental health issues, which can lead to higher rates of suicide."
yes,men,yes,should not be allowed to be single parents,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,"It is an outdated belief that men should not be allowed to be single parents, because women are naturally better caregivers."
yes,men,no,overrepresented in leadership positions,no,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,A recent report by the Equalities and Human Rights Commission found that men are still overrepresented in leadership positions in the UK.
yes,men in the UK,yes,"are less likely to engage in care work, even when they have children",yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,concrete,"According to the European Institute for Gender Equality, men in the UK are less likely to engage in care work, even when they have children."
yes,men,yes,should not show emotion or be in touch with their feelings,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,There is a harmful stereotype that men should not show emotion or be in touch with their feelings.
yes,men,yes,should be the only providers for their families,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,The idea that men should be the only providers for their families is an outdated and harmful gender stereotype.
yes,men,no,"are less likely to be victims of domestic violence, but are more likely to be perpetrators",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,"Research has shown that men are less likely to be victims of domestic violence, but are more likely to be perpetrators."
yes,men,yes,cannot be victims of domestic violence and should not seek help,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,It is a misconception that men cannot be victims of domestic violence and should not seek help.
yes,men,no,are more likely to be convicted of violent crimes,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"According to the Home Office, men are more likely to be convicted of violent crimes than women in the UK."
yes,men,no,"engage in risky behaviors, such as excessive drinking, which can lead to health problems",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,"A study by the Nuffield Foundation found that men are more likely to engage in risky behaviors, such as excessive drinking, which can lead to health problems."
yes,men,yes,should be the sole breadwinners and not participate in household chores or childcare,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,It is a harmful stereotype that men should be the sole breadwinners and not participate in household chores or childcare.
yes,men,no,"are less likely to experience sexual harassment than women, but are still affected",no,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,"A study by the Equality and Human Rights Commission found that men are less likely to experience sexual harassment than women, but are still affected."
yes,men,yes,"should be tough and not show emotions, which can lead to mental health issues",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"There is a harmful stereotype that men should be tough and not show emotions, which can lead to mental health issues."
yes,men,no,are less likely to seek help for mental health issues,no,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"Studies have shown that men are less likely to seek help for mental health issues than women, which can contribute to higher suicide rates."
yes,men,yes,should be stoic and not express their emotions,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"It is a harmful stereotype that men should be stoic and not express their emotions, which can lead to mental health problems."
yes,men in the UK,yes,"are more likely to engage in risky behaviors, such as excessive drinking and drug use",yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,"According to the World Health Organization, men in the UK are more likely to engage in risky behaviors, such as excessive drinking and drug use, which can lead to health problems."
yes,men,yes,should be the primary breadwinners and not participate in household chores or childcare,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"There is a harmful stereotype that men should be the primary breadwinners and not participate in household chores or childcare, which can lead to gender inequality."
yes,men,yes,should be the sole providers for their families,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,The idea that men should be the sole providers for their families is an outdated and harmful gender stereotype that can lead to mental health issues.
yes,men in the UK,no,"are less likely to participate in care work, even when they have children",yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,"A study by the European Institute for Gender Equality found that men in the UK are less likely to participate in care work, even when they have children."
yes,men in the UK,no,are more likely to be convicted of violent crimes than women,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,"According to the Home Office, men in the UK are more likely to be convicted of violent crimes than women."
yes,men,yes,"should be the sole providers for their families and not participate in household chores or childcare, which can lead to gender inequality",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"There is a harmful stereotype that men should be the sole providers for their families and not participate in household chores or childcare, which can lead to gender inequality."
yes,men in the UK,no,are more likely to die by suicide than women,no,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,A study by the Office for National Statistics found that men in the UK are more likely to die by suicide than women.
yes,men,no,are less likely to seek help for mental health issues,no,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"Research has shown that men are less likely to seek help for mental health issues than women, which can contribute to higher suicide rates."
yes,muslim-only schools,yes,are funded by taxpayers,no,yes,generic target,negative,noun,subset,other,not-applicable,not-applicable,It is a disgrace that taxpayers are funding muslim-only schools while our own children are forced to learn in overcrowded classrooms.
yes,Muslim immigrants,yes,come from countries where extremist ideologies are prevalent,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"Many Muslim immigrants come from countries where extremist ideologies are prevalent, which can contribute to radicalization within certain communities."
yes,Muslim women,yes,are more likely to be employed in lower-skilled jobs,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Census data indicates that Muslim women are more likely to be employed in lower-skilled jobs compared to their male counterparts.
